A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,Predict Time
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1416.42,-1694.94,573.77,1.8637540340423584
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1451.59,-1620.64,598.77,1.864835500717163
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1446.02,-1674.11,599.59,1.865997076034546
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1414.0,-2105.41,587.15,1.8664491176605225
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1355.68,-1590.06,545.1,1.868793249130249
1650.0,880.0,1220.0,250.0,2360.0,482.0,1429.46,1831.19,585.08,1.9840257167816162
1650.0,880.0,1220.0,250.0,2360.0,482.0,1415.79,1628.23,638.41,2.0056874752044678
1650.0,880.0,1220.0,250.0,2360.0,482.0,1518.18,1452.81,734.02,2.014373540878296
1650.0,880.0,1220.0,250.0,2360.0,482.0,1240.08,1656.97,559.34,2.0194528102874756
1650.0,880.0,1220.0,250.0,2360.0,482.0,1383.56,1682.73,659.65,2.021178960800171
1650.0,880.0,1220.0,250.0,2360.0,482.0,1299.16,1465.82,646.31,2.0355546474456787
1650.0,880.0,1220.0,250.0,2360.0,482.0,1280.93,1582.24,635.01,2.036271810531616
1650.0,880.0,1220.0,250.0,2360.0,482.0,1087.38,1607.39,519.3,2.0416982173919678
1650.0,880.0,1220.0,250.0,2360.0,482.0,1214.66,1780.18,607.94,2.044484853744507
1650.0,880.0,1220.0,250.0,2360.0,482.0,1222.65,1871.36,652.54,2.0589940547943115
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1193.76,-1640.84,566.41,2.099616765975952
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1160.8,-1391.52,543.72,2.1008031368255615
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1359.34,-1801.62,694.47,2.1047074794769287
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1091.5,-1167.48,516.89,2.109210729598999
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1049.19,-1478.1,496.24,2.110076665878296
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1214.31,-1534.7,616.21,2.113179922103882
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1080.21,-1774.01,534.02,2.114234685897827
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1303.55,-1600.58,697.01,2.1202962398529053
