A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,Predict Time
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1403.26,-1651.29,705.8,2.1317384243011475
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1374.67,-1694.77,780.33,2.1573426723480225
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1271.14,-1463.49,810.87,2.167020559310913
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1394.23,-1656.43,822.41,2.1831986904144287
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1408.46,-1425.18,795.57,2.189918279647827
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1221.53,-1328.04,873.52,2.1952455043792725
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1327.53,-1759.21,934.24,2.214200735092163
1650.0,880.0,1220.0,187.5,2072.5,482.0,828.07,1525.94,800.09,2.288647413253784
1650.0,880.0,1220.0,187.5,2072.5,482.0,875.74,1097.36,883.6,2.3068692684173584
1650.0,880.0,1220.0,187.5,2072.5,482.0,931.43,1351.09,826.59,2.308967351913452
1650.0,880.0,1220.0,187.5,2072.5,482.0,660.56,1289.82,959.21,2.3124501705169678
1650.0,880.0,1220.0,187.5,2072.5,482.0,680.81,1284.89,961.3,2.3169772624969482
1650.0,880.0,1220.0,187.5,2072.5,482.0,901.19,1652.03,820.31,2.3215386867523193
1650.0,880.0,1220.0,187.5,2072.5,482.0,771.14,1543.69,893.49,2.321728467941284
1650.0,880.0,1220.0,187.5,2072.5,482.0,702.65,1386.82,959.37,2.3273065090179443
1650.0,880.0,1220.0,187.5,2072.5,482.0,940.47,1519.73,840.4,2.3292367458343506
1650.0,880.0,1220.0,187.5,2072.5,482.0,928.77,1571.39,844.8,2.3329408168792725
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,901.49,-1577.07,678.12,2.2871968746185303
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,636.14,-1271.87,796.81,2.3103654384613037
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,884.71,-1432.74,723.01,2.314584493637085
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,477.84,-1695.42,987.5,2.3375585079193115
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,1121.36,-1501.99,689.53,2.341595411300659
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,830.0,-1646.84,842.14,2.3439385890960693
